index,object_id,category,embedding_caption_before_manual_judgement,present_attributes_before_manual_judgement,contact_sheet
39,03001627_110ad013a9ae7a1ab0f4eaf0533e82bb,chair,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_110ad013a9ae7a1ab0f4eaf0533e82bb.png
40,03001627_111720e8cd4c613492d9da2668ec34c,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_111720e8cd4c613492d9da2668ec34c.png
41,03001627_111cb08c8121b8411749672386e0b711,chair,"A chair with single main body, curved shell, distinct seat, backrest, four or more legs, thin supports, cross braces or bars, open gaps, and cylindrical parts.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_open_gaps; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_111cb08c8121b8411749672386e0b711.png
42,03001627_112cee32461c31d1d84b8ba651dfb8ac,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_112cee32461c31d1d84b8ba651dfb8ac.png
43,03001627_113016635d554d5171fb733891076ecf,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_113016635d554d5171fb733891076ecf.png
44,03001627_11347c7e8bc5881775907ca70d2973a4,chair,"A chair with single main body, boxy volume, distinct seat, and backrest.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11347c7e8bc5881775907ca70d2973a4.png
45,03001627_11355c7f7ffa3c09737d107bffc3cd98,chair,"A chair with single main body, boxy volume, curved shell, distinct seat, backrest, and armrests.",has_single_main_body; has_vertical_panel; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11355c7f7ffa3c09737d107bffc3cd98.png
46,03001627_11358c94662a68117e66b3e5c11f24d4,chair,"A chair with single main body, distinct seat, backrest, armrests, four or more legs, and star base or wheels. Reconstruction-relevant geometry includes slats and cylindrical parts.",has_single_main_body; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_star_base_or_wheels; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11358c94662a68117e66b3e5c11f24d4.png
47,03001627_1145248e1eba424d492d9da2668ec34c,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1145248e1eba424d492d9da2668ec34c.png
48,03001627_114b563de051057fcda85f6a3e19b0a1,chair,"A chair with single main body, curved shell, distinct seat, and backrest.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_114b563de051057fcda85f6a3e19b0a1.png
49,03001627_114f72b38dcabdf0823f29d871e57676,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_114f72b38dcabdf0823f29d871e57676.png
50,03001627_11506b96d41f7d3dd7c4a943f33e0384,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats and partly hidden supports.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats; has_occluded_or_hidden_supports,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11506b96d41f7d3dd7c4a943f33e0384.png
51,03001627_11525a18678f7ce6ae1e1181f20bb9c8,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_pedestal_or_central_support; has_star_base_or_wheels,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11525a18678f7ce6ae1e1181f20bb9c8.png
52,03001627_1157d8d6995da5c0290d57214c8512a4,chair,"A chair with single main body, boxy volume, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1157d8d6995da5c0290d57214c8512a4.png
53,03001627_115b11a77b8d8c3c110a27d1d78196,chair,"A chair with single main body, boxy volume, distinct seat, and backrest.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_115b11a77b8d8c3c110a27d1d78196.png
54,03001627_1166b15756ed9b8897317616969032,chair,"A chair with single main body, boxy volume, curved shell, distinct seat, backrest, and armrests.",has_single_main_body; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1166b15756ed9b8897317616969032.png
55,03001627_116a9cd5ac9a008ee8cb931b01d0a372,chair,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_116a9cd5ac9a008ee8cb931b01d0a372.png
56,03001627_116bcb3b43de74b9df9054bbcf5c6adc,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and armrests.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_116bcb3b43de74b9df9054bbcf5c6adc.png
57,03001627_11740d372308f12185047f9f654ddc2e,chair,"A chair with single main body, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.",has_single_main_body; has_vertical_panel; has_backrest; has_four_or_more_legs; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11740d372308f12185047f9f654ddc2e.png
58,03001627_117930a8f2e37f9b707cdefe012d0353,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_117930a8f2e37f9b707cdefe012d0353.png
59,03001627_117bd6da01905949a81116f5456ee312,chair,"A chair with single main body, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_117bd6da01905949a81116f5456ee312.png
60,03001627_117c0e0aafc0c3f81015cdff13e6d9f3,chair,"A chair with single main body, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_117c0e0aafc0c3f81015cdff13e6d9f3.png
61,03001627_1190af00b6c86c99c3bd24f986301745,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1190af00b6c86c99c3bd24f986301745.png
62,03001627_1196ffab55e431e11b17743c18fb63dc,chair,"A chair with single main body, curved shell, distinct seat, backrest, and armrests.",has_single_main_body; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest; has_armrests,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_1196ffab55e431e11b17743c18fb63dc.png
63,03001627_11a06e6f68b1d99c8687ff9b0b4e4ac,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11a06e6f68b1d99c8687ff9b0b4e4ac.png
64,03001627_11b7c86fc42306ec7e7e25239e7b8f85,chair,"A chair with single main body, boxy volume, distinct seat, and backrest.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11b7c86fc42306ec7e7e25239e7b8f85.png
65,03001627_11c7675a3dbc0d32f7287e3d21227e43,chair,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_cylindrical_parts,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11c7675a3dbc0d32f7287e3d21227e43.png
66,03001627_11c8f43ef796e23941e621b1a4bf507f,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11c8f43ef796e23941e621b1a4bf507f.png
67,03001627_11c9c57efad0b5ec297936c81e7f6629,chair,"A chair with single main body, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11c9c57efad0b5ec297936c81e7f6629.png
68,03001627_11d3fc4092e616a7a6fee8e2140acec9,chair,"A chair with single main body, flat horizontal surface, distinct seat, backrest, and four or more legs.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11d3fc4092e616a7a6fee8e2140acec9.png
69,03001627_11d4f2a09184ec972b9f810ad7f5cbd2,chair,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, and partly hidden supports.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_occluded_or_hidden_supports,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11d4f2a09184ec972b9f810ad7f5cbd2.png
70,03001627_11d8814ed60b54002449009b96f8a6ed,chair,"A chair with single main body, curved shell, flat horizontal surface, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.",has_single_main_body; has_flat_horizontal_surface; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats,ShapeNBV/caption_full_results_zup_v1/contact_sheets_600_attr_v2/03001627_11d8814ed60b54002449009b96f8a6ed.png
