object_id,changed,previous_caption,corrected_caption,previous_attributes,corrected_attributes,reviewer_note
03001627_103a0a413d4c3353a723872ad91e4ed1,True,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, perforations or holes, and open gaps.","A chair with single main body, flat horizontal surface, vertical panel, distinct seat, backrest, four or more legs, thin supports, cross braces or bars, slats, and open gaps.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_perforations_or_holes; has_open_gaps; has_concavity; has_cylindrical_parts; has_asymmetry; has_occluded_or_hidden_supports,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_open_gaps,"Fan-back tall chair with thin legs, slats, braces, and open gaps; armrests, boxy volume, and perforations are not supported."
03001627_103a60f3b09107df2da1314e036b435e,False,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.","A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,Chunky decorative chair; the original high-level geometry caption is acceptable from the available views.
03001627_103b75dfd146976563ed57e35c972b4b,True,"A chair with single main body, curved shell, distinct seat, and backrest.","A chair with single main body, vertical panel, curved shell, distinct seat, backrest, armrests, and concavity.",has_single_main_body; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest,has_single_main_body; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest; has_armrests; has_concavity,Bucket/tub chair with high side walls forming arms and a concave curved shell; no visible leg/support structure.
03001627_103c31671f8c0b1467bb14b25f99796e,True,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports, slats, and cylindrical parts.","A chair with single main body, flat horizontal surface, vertical panel, distinct seat, backrest, four or more legs, thin supports, slats, perforations or holes, open gaps, and cylindrical parts.",has_single_main_body; has_flat_horizontal_surface; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_slats; has_cylindrical_parts,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_slats; has_perforations_or_holes; has_open_gaps; has_cylindrical_parts,Thin metal chair with perforated seat/back and open slatted frame; boxy volume is not supported.
03001627_103d77d63f0d68a044e6721e9db29c1b,True,"A chair with single main body, curved shell, distinct seat, backrest, armrests, and four or more legs.","A chair with single main body, vertical panel, curved shell, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_vertical_panel; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,Upholstered armchair: rounded shell plus blocky body and arms; small feet are visible.
03001627_104256e5bb73b0b719fb4103277a6b93,True,"A chair with single main body, boxy volume, curved shell, distinct seat, backrest, and armrests.","A chair with single main body, flat horizontal surface, vertical panel, curved shell, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,"Armchair with a visibly flat seat, curved back, arms, and four legs."
03001627_1049953406c81b237eaeab1f0c9120b7,True,"A chair with single main body, curved shell, distinct seat, and backrest.","A chair with single main body, curved shell, distinct seat, backrest, thin supports, and cylindrical parts.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest,has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest; has_thin_supports; has_cylindrical_parts,Biomorphic shell chair with thin cylindrical supports; the contact sheet does not clearly show four independent legs.
03001627_1055f78d441d170c4f3443b22038d340,True,"A chair with single main body, distinct seat, backrest, armrests, and four or more legs. Reconstruction-relevant geometry includes slats and cylindrical parts.","A chair with single main body, flat horizontal surface, vertical panel, distinct seat, backrest, armrests, four or more legs, thin supports, cross braces or bars, slats, open gaps, and cylindrical parts.",has_single_main_body; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_slats; has_cylindrical_parts,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_open_gaps; has_cylindrical_parts,"Open wooden/cylindrical armchair with slatted back/seat, arms, thin legs, and visible gaps."
03001627_1063d4fcd366de4060e37b3f76995f8b,True,"A chair with single main body, curved shell, distinct seat, backrest, armrests, and four or more legs.","A chair with single main body, vertical panel, curved shell, distinct seat, backrest, armrests, four or more legs, and concavity.",has_single_main_body; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_concavity,"Curved tub armchair with side arms, short legs, and visible concavity."
03001627_106a0dbaead5066519fb4103277a6b93,True,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,"Wide double-seat chair/loveseat-like geometry with flat seats, back panels, arms, and short legs."
03001627_106c7f10c5bf5bd5f51f77a6d7299806,True,"A chair with single main body, boxy volume, backrest, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_backrest; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,Simple boxy chair with visible flat seat and four small legs; distinct seat was missing.
03001627_106e9487a1d47ff1a09cb462b3e723e2,True,"A chair with single main body, curved shell, distinct seat, and backrest.","A chair with single main body, vertical panel, curved shell, distinct seat, backrest, armrests, and concavity.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest,has_single_main_body; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest; has_armrests; has_concavity,Tub/bucket chair without visible legs; side walls read as arms and the shell is concave.
03001627_10709332176024ce9e47e7a22e24daa3,True,"A chair with single main body, curved shell, distinct seat, backrest, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, curved shell, distinct seat, backrest, and four or more legs.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs,Curved-back dining chair with four legs and a visible flat seat.
03001627_1079635b3da12a812cee4bf5d0f11ffe,True,"A chair with single main body, boxy volume, distinct seat, backrest, and armrests.","A chair with single main body, vertical panel, curved shell, boxy volume, distinct seat, backrest, armrests, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests,has_single_main_body; has_vertical_panel; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_cylindrical_parts,Plush armchair with rolled cylindrical arms and a ribbed curved back; no clear leg supports are visible.
03001627_107caefdad02cf1c8ab8e68cb52baa6a,True,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats and partly hidden supports.","A chair with single main body, flat horizontal surface, vertical panel, distinct seat, backrest, four or more legs, thin supports, slats, and open gaps.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats; has_occluded_or_hidden_supports,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_slats; has_open_gaps,"Slatted-back four-leg chair with a flat seat, thin supports, and open gaps; hidden supports are not needed."
03001627_107ed94869ed6f1be13496cd332ce78f,True,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,High-back armchair with a flat seat and four visible legs.
03001627_108238b535eb293cd79b19c7c4f0e293,True,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,Boxy armchair with side arms and visible small feet; armrests and flat seat were missing.
03001627_108b9cb292fd811cf51f77a6d7299806,True,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, perforations or holes, and partly hidden supports.","A chair with single main body, flat horizontal surface, vertical panel, distinct seat, backrest, four or more legs, thin supports, cross braces or bars, slats, perforations or holes, open gaps, and cylindrical parts.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_perforations_or_holes; has_occluded_or_hidden_supports,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_perforations_or_holes; has_open_gaps; has_cylindrical_parts,"Very open wire-grid chair: slats/holes and thin cylindrical supports are visible; armrests, boxy volume, and hidden supports are not supported."
03001627_1093d35c2ac73bb74ca84d60642ec7e8,True,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, armrests, pedestal or central support, and star base or wheels.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_pedestal_or_central_support; has_star_base_or_wheels,Reclining office-style chair with central pedestal/star base and footrest; not four independent legs.
03001627_10991b3b01cc6cc99982a4d6320875e,True,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats, cylindrical parts, and partly hidden supports.","A chair with single main body, flat horizontal surface, vertical panel, distinct seat, backrest, armrests, four or more legs, thin supports, slats, open gaps, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats; has_cylindrical_parts; has_occluded_or_hidden_supports,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_thin_supports; has_slats; has_open_gaps; has_cylindrical_parts,"Ornate slatted chair with arms, four turned cylindrical legs/posts, and open gaps; boxy volume and hidden supports are not supported."
03001627_10a1783f635b3fc181dff5c2e57ad46e,True,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,"Boxy armchair with side arms, flat seat, back panel, and short feet."
03001627_10c08a28cae054e53a762233fffc49ea,True,"A chair with single main body, boxy volume, distinct seat, backrest, and armrests.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, and armrests.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests,Boxy armchair with arms and a flat seat; no separate four-leg support is visible.
03001627_10d174a00639990492d9da2668ec34c,True,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, armrests, pedestal or central support, and star base or wheels.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_pedestal_or_central_support; has_star_base_or_wheels,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_pedestal_or_central_support; has_star_base_or_wheels,"Office chair with headrest, armrests, pedestal, and wheeled star base; do not count the star base as ordinary four legs."
03001627_10d5c2f88b60bbf5febad4f49b26ec52,True,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,"Boxy armchair/loveseat shape with arms, flat seat, back panel, and short feet."
03001627_10dc303144fe5d668d1b9a1d97e2846,True,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, four or more legs, and open gaps.",has_single_main_body; has_flat_horizontal_surface; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_open_gaps,"Simple chair with a flat seat, panel back, four legs, and a large open back gap; slats are not visible."
03001627_10de9af4e91682851e5f7bff98fb8d02,True,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,"Boxy armchair with arms, flat seat, back panel, and short feet."
03001627_10e523060bb5b51f9ee9f382b1dfb770,True,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes slats.","A chair with single main body, flat horizontal surface, distinct seat, backrest, four or more legs, thin supports, and open gaps.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs; has_slats,has_single_main_body; has_flat_horizontal_surface; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_open_gaps,"Simple open-frame chair with a flat seat, four thin supports, and an open rectangular back; slats/boxy volume are not supported."
03001627_11040f463a3895019fb4103277a6b93,True,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, armrests, four or more legs, and perforations or holes.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_perforations_or_holes,"Boxy armchair with arms, short legs, flat seat, and visible holes/perforations on the back panel."
03001627_110ad013a9ae7a1ab0f4eaf0533e82bb,True,"A chair with single main body, boxy volume, flat horizontal surface, distinct seat, backrest, and armrests.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, armrests, thin supports, cross braces or bars, open gaps, and cylindrical parts.",has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_thin_supports; has_cross_braces_or_bars; has_open_gaps; has_cylindrical_parts,Tubular open-frame armchair with side loops; support is cylindrical frame rather than four independent legs.
03001627_111720e8cd4c613492d9da2668ec34c,True,"A chair with single main body, boxy volume, distinct seat, backrest, armrests, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, armrests, and four or more legs.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs,"Simple armchair with arms, a flat seat, back panel, and four legs."
03001627_111cb08c8121b8411749672386e0b711,False,"A chair with single main body, curved shell, distinct seat, backrest, four or more legs, thin supports, cross braces or bars, open gaps, and cylindrical parts.","A chair with single main body, curved shell, distinct seat, backrest, four or more legs, thin supports, cross braces or bars, open gaps, and cylindrical parts.",has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_open_gaps; has_cylindrical_parts,has_single_main_body; has_curved_shell; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_open_gaps; has_cylindrical_parts,Existing manual override matches the butterfly-style chair geometry.
03001627_112cee32461c31d1d84b8ba651dfb8ac,True,"A chair with single main body, boxy volume, distinct seat, backrest, and four or more legs.","A chair with single main body, flat horizontal surface, vertical panel, curved shell, boxy volume, distinct seat, and backrest.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_four_or_more_legs,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest,Angular shell chair with integrated panel support and flat seat; no clear four independent legs.
03001627_113016635d554d5171fb733891076ecf,True,"A chair with single main body, distinct seat, backrest, and four or more legs. Reconstruction-relevant geometry includes thin supports, cross braces or bars, slats, and cylindrical parts.","A chair with single main body, flat horizontal surface, vertical panel, distinct seat, backrest, four or more legs, thin supports, slats, open gaps, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_cross_braces_or_bars; has_slats; has_cylindrical_parts,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_four_or_more_legs; has_thin_supports; has_slats; has_open_gaps; has_cylindrical_parts,"Spindle-back chair with a flat seat, four thin legs, vertical slats, open back gaps, and cylindrical rods; no visible cross braces."
03001627_11347c7e8bc5881775907ca70d2973a4,True,"A chair with single main body, boxy volume, distinct seat, and backrest.","A chair with single main body, flat horizontal surface, vertical panel, boxy volume, distinct seat, backrest, armrests, and open gaps.",has_single_main_body; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_open_gaps,Blocky panel chair with side arms and an arched/open cutout under the seat; no separate four-leg support is visible.
03001627_11355c7f7ffa3c09737d107bffc3cd98,True,"A chair with single main body, boxy volume, curved shell, distinct seat, backrest, and armrests.","A chair with single main body, flat horizontal surface, vertical panel, curved shell, boxy volume, distinct seat, backrest, armrests, concavity, and cylindrical parts.",has_single_main_body; has_vertical_panel; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_curved_shell; has_boxy_volume; has_distinct_seat; has_backrest; has_armrests; has_concavity; has_cylindrical_parts,Rounded upholstered armchair/recliner with rolled side arms and a concave seat; no independent legs are visible.
03001627_11358c94662a68117e66b3e5c11f24d4,True,"A chair with single main body, distinct seat, backrest, armrests, four or more legs, and star base or wheels. Reconstruction-relevant geometry includes slats and cylindrical parts.","A chair with single main body, flat horizontal surface, vertical panel, distinct seat, backrest, armrests, pedestal or central support, star base or wheels, slats, and cylindrical parts.",has_single_main_body; has_distinct_seat; has_backrest; has_armrests; has_four_or_more_legs; has_star_base_or_wheels; has_slats; has_cylindrical_parts,has_single_main_body; has_flat_horizontal_surface; has_vertical_panel; has_distinct_seat; has_backrest; has_armrests; has_pedestal_or_central_support; has_star_base_or_wheels; has_slats; has_cylindrical_parts,"Office chair with armrests, slatted back/seat, central pedestal, and wheeled star base; not four independent legs."
